,AUSTRALIA,BRAZIL,CANADA,CHINA,Extra-EU,Intra-EU,JAPAN,USA,(all)
(all),17404.6,123053.9,34009.3,1675.2,107470.1,379898.3,3619.6,163713.6,830844.6
SPAIN,5041.2,6547.3,17492.3,1550,0,185876.7,2139.6,71634.9,290282
GREECE,9374.1,160.4,8883.1,53.2,0,95494.7,181.9,39790.7,153938.1
ARGENTINA,114,57557.7,294.6,0,735.8,0,0,2656,61358.1
MOROCCO,12.6,0,1228.3,0,39841.6,0,83.7,12712.2,53878.3
EGYPT,400.2,27371.4,1043.2,0,14654.8,0,0,6833.7,50303.3
PORTUGAL,0,293.4,155.1,0.6,0,37931.4,16.2,5717.2,44113.8
TÜRKIYE,474.4,0,901.1,6.5,36911.5,0,10.3,3928,42231.8
PERU,259.7,31027.9,264,0,182.8,0,21,1873.8,33629.3
ITALY,1381,56.8,1984.6,34,0,12341.1,760.2,9076.7,25634.5
BELGIUM,0,0,17.2,0,0,22417.6,0.6,0,22435.4
ALBANIA,0,0,8.3,0,12014.5,0,0,107.3,12130.2
GERMANY,0,0,0,0.1,0,9725.5,0,0,9725.6
MEXICO,0,0,0.5,0,0,0,0,7069.3,7069.8
NETHERLANDS,0,0,0.1,0,0,6687.2,0,0,6687.2
BULGARIA,0,0,0.2,0,0,2318.3,0,8.3,2326.9
FRANCE,1.4,0,63.6,0,0,1734.9,29,252,2080.8
LEBANON,106.7,14.1,535.8,0,308.1,0,0,479.4,1444.1
SLOVAKIA,0,0,0,0,0,1232.6,0,0,1232.6
SYRIA,118.8,0,127.2,5.3,776.7,0,0,120.9,1148.9
USA,0,0,672.5,0,37.4,0,372.2,0,1082.1
POLAND,0,0,0.1,0,0,1078.2,0,0,1078.3
ISRAEL,24.9,0.5,40.3,0,102.4,0,0.1,778.4,946.5
AUSTRIA,0,0.2,0,0,0,782.7,0,0,782.9
JORDAN,7.7,0,17,1.2,240.3,0,0,371,637.1
CZECH REPUBLIC,0,0,0,0,0,591.4,0,0,591.4
UNITED KINGDOM,0,0,7.9,23.5,533.1,0,0,0,564.5
LATVIA,0,0,0,0,0,287.4,0,2.2,289.6
CHILE,24.1,24.2,22,0,57.2,0,0,152.1,279.6
SWITZERLAND,0,0,71.8,0,200,0,0,0,271.8
SWEDEN,0,0,0,0,0,237.9,0,7.7,245.6
CROATIA,0,0,0,0,0,209.7,0,1,210.7
HUNGARY,0,0,0,0,0,203,0,0,203
CYPRUS,0,0,0,0,0,198.2,0,0,198.2
MACEDONIA,8.2,0,0,0,175.3,0,0,0,183.5
OTHERS,0,0,0,0,178,0,0,0,178
LITHUANIA,0,0,0,0,0,163.6,0,0,163.6
ALGERIA,0,0,68,0,80.6,0,0,0,148.6
DENMARK,0,0,0.7,0,0,145.3,0,0,146
INDIA,0,0,0,0,122,0,0,0,122
TUNISIA,1.8,0,4.1,0,108.6,0,0,1.6,116.1
ROMANIA,0,0,0.1,0,0,101.8,0,0,101.9
