Fecha,Precio Virgen extra,Precio Virgen,Precio Lampante
2023-01-03,5.25,4.9,4.813
2023-01-04,5.3,4.85,4.788
2023-01-05,5.338,4.913,4.825
2023-01-09,5.325,4.885,4.85
2023-01-10,5.35,4.875,4.825
2023-01-11,5.35,4.875,4.825
2023-01-12,5.35,4.883,4.8
2023-01-13,5.362,4.95,4.806
2023-01-16,5.362,4.962,4.8
2023-01-17,5.35,4.8,4.75
2023-01-18,5.363,4.817,4.733
2023-01-19,5.4,4.862,4.712
2023-01-20,5.375,4.8,4.675
2023-01-23,5.375,4.7,4.65
2023-01-24,5.338,4.683,4.65
2023-01-25,5.371,4.681,4.625
2023-01-26,5.371,4.681,4.625
2023-01-27,5.3,4.65,4.575
2023-01-30,5.3,4.6,4.5
2023-01-31,5.325,4.6,4.5
2023-02-01,5.2,4.5,4.45
2023-02-02,5.2,4.5,4.45
2023-02-03,5.15,4.45,4.417
2023-02-06,5.163,4.463,4.413
2023-02-07,5.15,4.45,4.4
2023-02-08,5.267,4.45,4.4
2023-02-09,5.167,4.425,4.388
2023-02-10,5.17,4.45,4.4
2023-02-13,5.25,4.51,4.43
2023-02-14,5.269,4.575,4.475
2023-02-15,5.275,4.588,4.505
2023-02-16,5.333,4.675,4.567
2023-02-17,5.288,4.7,4.613
2023-02-20,5.267,4.717,4.667
2023-02-21,5.283,4.842,4.767
2023-02-22,5.3,4.87,4.78
2023-02-23,5.244,4.85,4.733
2023-02-24,5.25,4.9,
2023-02-27,5.325,4.8,4.65
2023-03-01,5.325,4.8,4.65
2023-03-02,5.325,4.8,4.65
2023-03-03,5.238,4.8,4.64
2023-03-06,5.325,4.85,4.65
2023-03-07,5.3,4.65,4.6
2023-03-08,5.3,4.65,4.6
2023-03-09,5.25,4.7,4.65
2023-03-10,5.275,4.8,4.65
2023-03-13,5.3,4.7,4.65
2023-03-14,5.3,4.7,4.65
2023-03-15,5.4,4.8,4.65
2023-03-16,5.267,4.8,4.625
2023-03-17,5.264,4.8,4.625
2023-03-20,5.25,4.858,4.7
2023-03-21,5.238,4.8,4.7
2023-03-22,5.242,4.817,4.7
2023-03-23,5.269,4.844,4.75
2023-03-24,5.275,4.888,4.75
2023-03-27,5.275,4.85,4.75
2023-03-28,5.258,4.85,4.75
2023-03-29,5.233,4.875,4.783
2023-03-30,5.241,4.85,4.75
2023-03-31,5.2,4.84,4.75
2023-04-03,5.213,4.85,4.76
2023-04-04,5.225,4.863,4.775
2023-04-05,5.225,4.85,4.75
2023-04-10,5.225,4.85,4.75
2023-04-11,5.25,4.925,4.8
2023-04-12,5.283,4.938,4.825
2023-04-13,5.313,4.963,4.875
2023-04-14,5.288,4.95,4.875
2023-04-17,5.313,4.975,4.888
2023-04-18,5.3,5.0,4.9
2023-04-19,5.35,5.05,4.95
2023-04-20,5.375,5.075,4.975
2023-04-21,5.4,5.1,5.0
2023-04-24,5.4,5.12,5.05
2023-04-25,5.375,5.15,5.088
2023-04-26,5.4,5.15,5.1
2023-04-27,5.4,5.2,5.1
2023-04-28,5.483,5.292,5.158
2023-05-02,5.475,5.292,5.2
2023-05-03,5.55,5.3,5.2
2023-05-04,5.575,5.35,5.25
2023-05-05,5.55,5.4,5.3
2023-05-08,5.625,5.45,5.35
2023-05-09,5.7,5.55,5.4
2023-05-10,5.75,5.6,5.5
2023-05-11,5.825,5.6,5.5
2023-05-15,5.95,5.75,5.65
2023-05-16,5.975,5.8,5.7
2023-05-17,5.967,5.767,5.7
